"price";"date";"aptName";"dongName";"householdCnt";"floorAreaRate";"parkingLotCnt";"exclusiveArea";"floor"
"1";24.7;"2020-01-02";"포스코더샵";"대치동";276;299;655;139.54;3
"2";30;"2020-01-02";"대치아이파크";"대치동";768;274;1171;114.97;10
"3";17;"2020-01-02";"우성캐릭터199";"도곡동";199;620;902;132.94;5
"4";20;"2020-01-02";"아카데미스위트";"도곡동";414;996;808;164.87;7
"5";7.7;"2020-01-03";"현대하이츠";"역삼동";12;287;15;99.22;4
"6";2.02;"2020-01-03";"우림루미아트";"역삼동";84;522;64;24;8
"7";22.45;"2020-01-03";"삼성힐스테이트2단지";"삼성동";926;273;1291;84.679;5
"8";21;"2020-01-03";"미성2차";"압구정동";911;0;1093;74.4;13
"9";12;"2020-01-03";"푸른마을";"일원동";930;249;930;59.76;7
"10";8.7;"2020-01-03";"까치마을";"수서동";1404;208;1410;39.6;13
"11";3.95;"2020-01-04";"역삼한스빌";"역삼동";216;376;154;41.95;11
"12";12.45;"2020-01-04";"대청";"개포동";822;0;700;49.86;6
"13";12.45;"2020-01-04";"대치2단지";"개포동";1758;174;1758;49.86;6
"14";6;"2020-01-04";"청담휴먼스타빌";"청담동";191;1102;142;35.905;22
"15";34;"2020-01-04";"래미안대치팰리스1단지";"대치동";1278;258;2478;94.5;11
"16";34;"2020-01-04";"래미안대치팰리스2단지";"대치동";330;258;601;94.5;11
"17";8.8;"2020-01-04";"신사아이빌";"신사동";19;224;33;90.35;4
"18";10.2;"2020-01-04";"신동아";"수서동";1162;203;325;39.53;9
"19";8.8;"2020-01-04";"신동아";"수서동";1162;203;325;33.18;7
"20";14.88;"2020-01-06";"동부센트레빌";"역삼동";206;350;208;59.82;21
"21";8.5;"2020-01-06";"더블루";"역삼동";68;370;50;62.26;10
"22";2.04;"2020-01-06";"우림루미아트";"역삼동";84;522;64;23.9;7
"23";5.6;"2020-01-06";"역삼트레벨";"역삼동";45;241;34;33.48;4
"24";20.3;"2020-01-06";"LG개포자이";"개포동";212;250;502;134.3;17
"25";10.65;"2020-01-06";"강남LH1단지(e편한세상)";"세곡동";809;173;998;74.74;4
"26";16.2;"2020-01-06";"푸른마을";"일원동";930;249;930;84.93;14
"27";13;"2020-01-06";"개포우성5차";"도곡동";180;179;144;70.89;4
"28";31;"2020-01-06";"타워팰리스2차";"도곡동";813;923;2376;164.99;35
"29";8.4;"2020-01-07";"대치우정에쉐르1";"대치동";80;548;76;79.07;2
"30";16.4;"2020-01-07";"현대아인빌";"신사동";19;283;33;138.7;3
"31";13.7;"2020-01-07";"래미안신사";"신사동";63;206;82;84.89;3
"32";12.45;"2020-01-08";"삼성힐스테이트2단지";"삼성동";926;273;1291;38.671;21
"33";2.45;"2020-01-08";"선릉역대우아이빌5차";"대치동";150;694;154;25.42;14
"34";7.495;"2020-01-09";"갤러리하우스";"역삼동";17;223;15;76.52;5
"35";2.05;"2020-01-09";"우림루미아트";"역삼동";84;522;64;23.9;10
"36";22;"2020-01-09";"우성3차";"개포동";405;179;450;133.46;3
"37";37.5;"2020-01-09";"동부센트레빌";"대치동";805;297;1824;145.83;8
"38";3.9;"2020-01-09";"루덴하우스";"신사동";19;222;21;73.22;-1
"39";23.2;"2020-01-09";"타워팰리스2차";"도곡동";813;923;2376;115.63;31
"40";31;"2020-01-09";"타워팰리스2차";"도곡동";813;923;2376;164.99;35
"41";10.3;"2020-01-10";"대청";"개포동";822;0;700;39.53;2
"42";10.3;"2020-01-10";"대치2단지";"개포동";1758;174;1758;39.53;2
"43";19.5;"2020-01-10";"청담e-편한세상1차";"청담동";271;296;400;113.57;8
"44";14.5;"2020-01-10";"서광";"삼성동";304;366;304;59.67;4
"45";14.8;"2020-01-10";"미켈란147";"삼성동";67;943;66;83.69;16
"46";14.8;"2020-01-10";"삼성";"도곡동";231;139;208;73.41;2
"47";15.75;"2020-01-11";"역삼래미안";"역삼동";1050;276;1066;59.4;20
"48";20.8;"2020-01-11";"역삼푸르지오";"역삼동";738;283;753;84.9097;2
"49";14.6;"2020-01-11";"대청";"개포동";822;0;700;60;14
"50";14.6;"2020-01-11";"대치2단지";"개포동";1758;174;1758;60;14
"51";17.6;"2020-01-11";"청담자이";"청담동";708;266;905;49.618;24
"52";24.7;"2020-01-11";"대치아이파크";"대치동";768;274;1171;84.95;12
"53";29.9;"2020-01-11";"현대1,2차";"압구정동";960;224;720;131.49;11
"54";12.4;"2020-01-11";"세곡푸르지오";"세곡동";912;174;1148;74.74;14
"55";10.9;"2020-01-11";"신동아";"수서동";1162;203;325;49.96;6
"56";17.1;"2020-01-12";"개포주공6단지";"개포동";1060;0;300;60.76;2
"57";17.1;"2020-01-12";"개포주공7단지";"개포동";900;0;400;60.76;2
"58";4.5;"2020-01-13";"풍림지오빌";"역삼동";17;299;18;42.69;3
"59";27;"2020-01-13";"역삼IPARK";"역삼동";541;273;914;130.156;16
"60";11.1;"2020-01-13";"대청";"개포동";822;0;700;39.53;14
"61";11.1;"2020-01-13";"대치2단지";"개포동";1758;174;1758;39.53;14
"62";16.5;"2020-01-13";"현대";"대치동";120;243;55;84.27;4
"63";15.95;"2020-01-13";"푸른마을";"일원동";930;249;930;84.93;8
